제품군,모델명,이미지키,타입1명,타입1_공장도,타입1_소비자,타입2명,타입2_공장도,타입2_소비자,타입3명,타입3_공장도,타입3_소비자,선택사양1,선택사양1금액,선택사양2,선택사양2금액,선택사양3,선택사양3금액,선택사양4,선택사양4금액,선택사양5,선택사양5금액,선택사양6,선택사양6금액,선택사양7,선택사양7금액,선택사양8,선택사양8금액,선택사양9,선택사양9금액,선택사양10,선택사양10금액,비고1,비고2,비고3,비고4,비고5,비고6,비고7,비고8,비고9,비고10
클래식도어,C817,C817,A형(~1150),850000,1150000,B형(1150~1400),1050000,1350000,C형(1400~1700),1200000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,번호키 리모컨,50000,연동기,50000,매립형도어클로저,100000,,,,,,,,,돌출 도어클로저,푸시풀 번호키,,,,,,,,
클래식도어,C836,C836,A형(~1150),850000,1150000,B형(1150~1400),1050000,1350000,C형(1400~1700),1200000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,번호키 리모컨,50000,연동기,50000,매립형도어클로저,100000,,,,,,,,,돌출 도어클로저,푸시풀 번호키,,,,,,,,
클래식도어,C846,C846,A형(~1150),850000,1150000,B형(1150~1400),1050000,1350000,C형(1400~1700),1200000,1500000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,번호키 리모컨,50000,연동기,50000,매립형도어클로저,100000,,,,,,,,,돌출 도어클로저,푸시풀 번호키,,,,,,,,
클래식도어,C851,C851,A형(~1150),950000,1250000,B형(1150~1400),1150000,1450000,C형(1400~1700),1300000,1600000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,번호키 리모컨,50000,연동기,50000,매립형도어클로저,100000,,,,,,,,,돌출 도어클로저,푸시풀 번호키,,,,,,,,
클래식도어,C852,C852,A형(~1150),950000,1250000,B형(1150~1400),1150000,1450000,C형(1400~1700),1300000,1600000,상부픽스 300이하,250000,상부픽스 300이상 100mm당,100000,소대픽스 규격외 100mm당,100000,번호키 리모컨,50000,연동기,50000,매립형도어클로저,100000,,,,,,,,,돌출 도어클로저,푸시풀 번호키,,,,,,,,
